,DK,Neil1,Neil2,WT
2000,1.412543162256856,1.1808585757179126,1.1445497561801214,1.534749349015495
2001,1.4140603084158831,1.1822855520257924,1.1461866921767798,1.5361285561276108
2002,1.415577580729046,1.1837128220692323,1.1478235970211492,1.537508259384038
2003,1.4170949673834097,1.185140377488322,1.1494604841567828,1.5388884544927055
2004,1.4186124554460062,1.186568223737705,1.151097365186783,1.5402691109776085
2005,1.4201300256894038,1.1879963556975557,1.1527342516623211,1.5416502128197407
2006,1.4216476709505323,1.1894247764480352,1.1543711561397556,1.5430317466142884
2007,1.4231653713413346,1.1908534773369672,1.1560080900593956,1.544413682512632
2008,1.4246831195431946,1.1922824635032168,1.1576450672789826,1.5457960208836237
2009,1.4262009030973266,1.1937117253282172,1.1592820979100267,1.5471787387845892
2010,1.4277187080831275,1.195141260589957,1.1609191953224922,1.548561828968603
2011,1.42923651593997,1.1965710579855169,1.1625563623652888,1.5499452714950406
2012,1.4307543206510287,1.1980011124858387,1.1641936173935896,1.551329057889643
2013,1.4322721105670688,1.1994314228473895,1.165830972413125,1.5527131795523457
2014,1.4337898661275843,1.2008619761251726,1.167468434193565,1.5540976192928204
2015,1.4353075894983207,1.202292772142736,1.1691060235236552,1.5554823860735445
2016,1.4368252644673856,1.2037237985163447,1.1707437468120698,1.556867472291692
2017,1.4383428786616155,1.2051550503285888,1.1723816121894624,1.5582528725030511
2018,1.43986041841999,1.206586513193171,1.1740196298804262,1.5596385822288623
2019,1.4413778710095297,1.208018185384361,1.1756578115142544,1.5610245758731964
2020,1.4428952209650387,1.2094500534014159,1.177296159398303,1.562410872023269
2021,1.4444124707742638,1.2108821135324306,1.1789346919696613,1.5637974741457408
2022,1.4459296088947036,1.2123143536454082,1.1805734194611095,1.5651843690477063
2023,1.447446627012369,1.2137467647803193,1.1822123506525868,1.5665715752425975
2024,1.4489635141370045,1.2151793348760245,1.1838514973278669,1.5679590910173415
2025,1.4504802681574644,1.2166120541136833,1.1854908673536229,1.5693469270691558
2026,1.45199686954755,1.2180449110078686,1.187130472140001,1.5707350860544311
2027,1.4535133234848112,1.219477895966529,1.188770323366264,1.5721235820511053
2028,1.4550296228569661,1.2209109961722882,1.1904104262834447,1.5735124196597685
2029,1.4565457527277748,1.222344200644585,1.192050786783745,1.574901617526073
2030,1.458061713753096,1.2237775003449143,1.1936914182986416,1.5762911873567769
2031,1.459577490559696,1.2252108807504518,1.1953323237067335,1.5776811368925938
2032,1.461093081134867,1.2266443302299717,1.1969735094428349,1.579071496861945
2033,1.4626084778055377,1.228077838872146,1.198614988321911,1.5804622777177153
2034,1.4641236722800088,1.2295113971719358,1.200256766361584,1.581853494463203
2035,1.4656386600233589,1.230944988409894,1.2018988469004646,1.5832451535771392
2036,1.4671534365644991,1.2323786050090193,1.2035412363507525,1.5846372932416746
2037,1.468667988224881,1.233812220547161,1.2051839374860462,1.5860299241291131
2038,1.4701823170390191,1.2352458305520033,1.206826963997801,1.587423074023621
2039,1.4716964229998224,1.2366794314501077,1.2084703199098676,1.58881675419222
2040,1.4732103007642128,1.2381130065570283,1.2101140124236864,1.5902109956864336
2041,1.4747239536333367,1.2395465469353366,1.2117580453928825,1.591605822560679
2042,1.4762373667797295,1.2409800285459138,1.213402414370797,1.5930012562428604
2043,1.4777505471802117,1.242413452669554,1.2150471306846649,1.5943973287178024
2044,1.4792634860726583,1.2438468078254032,1.2166921927618997,1.5957940630204088
2045,1.4807761833608462,1.2452800839899367,1.2183376122668765,1.5971914887023604
2046,1.4822886241415918,1.2467132589810113,1.2199833802756175,1.5985896258824794
2047,1.4838008163353011,1.248146324719271,1.2216295111056128,1.5999885064844257
2048,1.4853127565448798,1.2495792711388343,1.223276000203068,1.6013881525822204
2049,1.4868244469289689,1.2510120915303942,1.2249228493674336,1.6027885936905095
2050,1.488335884777872,1.2524447730858812,1.2265700591155533,1.6041898666786878
2051,1.4898470712662255,1.2538773057419625,1.2282176324625658,1.6055919960960559
2052,1.4913580042973924,1.2553096818868936,1.229865572154807,1.6069950081863755
2053,1.4928686799558117,1.2567418852028367,1.2315138745845262,1.6083989335438993
2054,1.4943790994619544,1.2581739101581089,1.2331625415486624,1.609803797445813
2055,1.4958892608449414,1.2596057486391217,1.2348115722196242,1.611209628471273
2056,1.497399164896001,1.261037388340564,1.2364609630242154,1.6126164431097818
2057,1.498908810267118,1.2624688200421252,1.238110713158519,1.6140242768300548
2058,1.5004181971975017,1.2639000363370125,1.2397608221782759,1.6154331560690698
2059,1.5019273253769472,1.2653310295788662,1.24141128559059,1.616843098113657
2060,1.5034361965508192,1.2667617887592668,1.2430621023246833,1.6182541280029936
2061,1.5049448104843235,1.2681923051185475,1.2447132693987908,1.6196662766467111
2062,1.5064531663069107,1.2696225758622817,1.2463647815357468,1.6210795615923708
2063,1.5079612614079783,1.2710525908091495,1.2480166325608264,1.622494000487714
2064,1.509469099330819,1.2724823409136667,1.2496688211060278,1.6239096134966344
2065,1.5109766805957427,1.2739118169181036,1.2513213387571978,1.6253264201540893
2066,1.5124840082728757,1.2753410153190536,1.2529741826541956,1.6267444412807595
2067,1.5139910858356003,1.2767699337734937,1.2546273491836992,1.6281636959159358
2068,1.5154979211280308,1.2781985670386522,1.256280831162478,1.6295842023705367
2069,1.5170045051592695,1.2796268999393883,1.2579346118819656,1.6310059618544204
2070,1.518510840487517,1.2810549309893713,1.2595886895584514,1.6324289860386387
2071,1.5200169331516729,1.2824826574794237,1.2612430604469655,1.6338532925990092
2072,1.5215227892949272,1.2839100781430468,1.26289771867394,1.6352788930710473
2073,1.5230284050518361,1.285337182032256,1.2645526543177543,1.6367057910099165
2074,1.524533786469149,1.2867639672857705,1.2662078599877495,1.6381339946826141
2075,1.5260389300980517,1.2881904246468951,1.267863319573274,1.6395635013850023
2076,1.5275438416641876,1.2896165487420936,1.2695190261322062,1.6409943177711288
2077,1.5290485140297916,1.2910423317838864,1.271174964894836,1.6424264432886997
2078,1.530552960899743,1.2924677766282053,1.2728311322202845,1.6438598814564351
2079,1.5320571846952966,1.2938928782480958,1.2744875171415093,1.645294626094221
2080,1.5335611912484293,1.2953176354030227,1.2761441106571167,1.646730667616952
2081,1.5350649793732467,1.2967420399406744,1.2778008946549584,1.648168006675764
2082,1.536568547064668,1.298166088751776,1.2794578568723811,1.6496066423670046
