gene_name	baseMean	log2FoldChange	padj	N12_1	N12_2	WT_1	WT_2
3110039I08Rik	274.358708008474	-1.61182331690888	0.0344811288551041	120.947917885851	202.11648188445	520.543061752043	377.599131416778
5033417F24Rik	106.583917978195	1.12122615626809	0.0149375962097349	158.374242985708	160.985010498453	88.3071704055606	60.4872732744337
Agrn	1846.44197074405	-2.44028038800819	0.00241628606178132	716.174810153146	894.766133138435	1952.97862414471	5469.9185169093
Alx3	19.0744876503607	2.24581661910877	0.0487293165551145	26.3957071642847	32.1970020996905	5.07512473595176	8.06496976992449
Amot	693.61690352093	-1.50022313178729	0.0133419453010489	551.132800129492	442.385359305326	1413.85229946574	1423.03025027302
Anapc2	1132.44773903344	2.39013676042324	0.0219386229932955	840.439316110824	3928.03425616225	423.265402978377	486.922549859191
Ankrd13c	2113.2943725622	1.42832530381509	7.36495811960948e-07	2432.55572481319	2317.99784622201	871.179383727665	1214.63347156416
Apba2	9593.83755693696	1.81700551634824	2.49377805517039e-18	11846.8609619286	10298.2424291658	2714.55085206541	3607.89598422423
Arrb1	8096.2852529676	2.28668695413318	0.0139994633205466	16476.9312103805	15099.8733437699	4440.77314801596	2499.30155788711
Atf2	2533.43425268876	1.06053161707678	0.0125103896296389	3877.09348432685	4046.03910298833	1845.22617121554	1987.65803280107
Atxn3	734.411320912504	1.3474238995815	0.0155683656436317	1537.21242182422	1172.89304792662	766.279709059612	377.335937022604
BC018473	22.2631386979645	2.07605479888433	0.0381181580942174	49.6239294688552	46.2831905183051	8.12019957752281	16.129939539849
BC037034	2067.56595333857	-1.91789176968886	0.0214477338620677	862.396851359434	883.375894172985	2822.28036598126	2779.1258927495
Brf1	306.007920438227	-1.59696659762334	0.00473119621611062	108.508327341442	171.604218545933	414.874533491255	411.687643331091
C230091D08Rik	226.44959391889	-25.5159685545205	3.70437190384502e-05	0	0	0	1823.69128922418
Cabyr	248.826510818459	2.59299538584263	0.000444040647047257	416.48844372798	392.663251102275	121.740456630034	72.0810603816978
Caml	649.646723829267	4.19817678512932	1.95002982926424e-08	243.89633419799	1057.47028771171	38.5709479932334	33.2680003009385
Ccdc137	217.910926806955	-2.64878856734012	0.0259787771201725	72.718528228267	118.966583026019	195.165471327697	1003.79066182859
Ccl21b	6.82369267084243	6.47831621546431	0.0210788593517373	22.1723940179991	11.0677194717686	0	0
Cd300ld	7.2075427852272	-6.32517673167313	0.0376036337093675	0	0	22.3305488381877	8.06496976992449
Cir1	887.571415921506	-1.24810127565984	0.0124228045400151	495.183466401981	454.782654658129	1117.54246685658	1135.14449511687
Clcn6	3836.19257955174	-1.10184935624827	1.39970132131029e-10	2994.09075156198	2477.39682918687	5959.02995090284	5780.34008584112
Clip4	2024.61209909287	2.26777911042806	2.41740011815515e-05	2374.71123993815	2397.38698698778	645.814682352049	359.55704766908
Clstn1	25331.0111530399	1.93684936045146	0.0338676706689809	67558.5569260772	62674.7743239856	24755.9257698239	9276.13372039534
Col6a4	108.184688374882	-1.76765438854647	0.0298137147051049	27.3866456340184	47.1775644871763	107.932573144137	141.60710887165
Coq2	953.101723516992	-2.35002237898253	2.07179413626748e-28	325.409658630672	304.021728031034	1820.25256296317	1387.04524352835
Cpne7	5359.64875771419	-1.72385401432536	0.000398697936916173	2317.85607513184	2368.24676602432	7800.89709911301	7473.56108906571
Csnk2a2	726.053966128809	-1.62181278857988	3.80068735990172e-10	245.75711033456	194.460180250236	1036.83537740665	825.419216580662
Cttn	701.519993372441	-1.49242745872732	2.12815319838936e-07	485.014868493126	522.563762170157	1091.27950431902	1263.06074980507
D2hgdh	641.209628313273	-1.54072814385401	1.97806087358198e-14	332.247532347971	246.629976131416	847.687147296308	682.234327417058
D930019O06Rik	282.43399776613	1.9731148708556	0.00194186612295413	417.887179213768	380.10107138301	88.0923578654709	133.007764729271
Dot1l	1359.85560970023	2.25629927813451	9.01384415258468e-06	1528.43722913904	2210.3282184984	423.54510941073	260.257965157826
Dtymk	308.25539554131	-1.46299011173686	5.33484162778839e-05	97.7982268263101	169.714176873362	367.796930080439	364.930914257222
Dynll2	8190.62373160445	1.41039822052214	0.00528683726636367	16947.4807428584	15810.5638311635	7844.01446400399	4534.38029200123
Elmod3	731.61839615018	-1.47426488714237	0.00245336947625225	292.75563639815	259.172198986497	708.487857578917	909.047781552648
Eri3	3087.40270827323	-1.04577945463019	7.15519948594761e-22	1938.93560389643	1631.07137185232	3855.63877009359	3770.69822169209
Fam160a2	1574.63508253548	-4.12367589055325	0.0182060086444416	151.564178993548	123.536875676885	4538.23621951992	145.402976856651
Fbln7	66.6382953704996	-2.13601353279474	0.01100885686941	17.5180993393741	43.1380626817049	82.0697170588055	87.4889115996844
Fbxl17	4657.53467358073	-1.07585306015934	0.00924488511463423	4556.66599447952	2382.05454632832	5791.70591026087	6429.30149131173
Fbxw11	8407.32941233697	-1.07343838476885	0.00697362983957314	5793.3053936993	3499.70500529309	10728.4281705119	8560.36968565351
Fxr1	2143.62103816887	1.14001357193876	0.0299775152842481	2751.83956155462	2838.34105517844	1154.85524600485	1270.94110142906
Gm10591	58.7700409293401	6.61550528578726	0.00490354344882528	32.730676883713	67.412473146227	0	2.01624244248112
Gm13301	366.885592723255	3.51570069684258	6.93164629884246e-08	242.840505911419	487.985813073435	45.6761226235658	19.1543032035707
Gm13304	111.906486123324	6.98044614129173	5.01816097824752e-08	128.811050961709	127.781852083147	1.01502494719035	2.01624244248112
Gm1821	158.034228831655	9.7433628610707	8.79073629603098e-05	307.246031392274	12.073875787384	0	0
